Country,Region,Degree of alcohol,Color,Size,Producer,Promoting agent,SAQ code,UPC code,Product of Québec,productSku,productName,productCategory,productPrice,productInStock,productType,productAvgScore,image_link,productReviews,Classification,Special feature,Designation of origin,Regulated Designation,Grape variety,Sugar content
Canada,Quebec,30 %,Amber,750 ml,Certico Inc,Amphora Vins Fins et Spiritueux,13673888,00830720154000,Made in Québec,13673888,Amerable Amaro,Products,35,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13673888-1_1607348747.png,,,,,,,
Canada,Quebec,42 %,Blue,750 ml,1769 Distillery,Authentic Vins et Spiritueux inc,14392578,00628451469124,Made in Québec,14392578,1769 Distillery Azura,Products,42.5,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14392578-1_1582145735.png,0,,,,,,
Canada,Quebec,31 %,Black,750 ml,Les Spiritueux Iberville,Représentation La Rep Inc.,13505008,00627843837169,Bottled in Québec,13505008,Amernoir,Products,33,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13505008-1_1578537007.png,0,,,,,,
Jamaica,,43 %,Amber,750 ml,Forty Creek Distillery - a division of Gruppo Campari,Forty Creek Distillery LTD,14588159,00069321004593,,14588159,Appleton Estate Reserve 8 years,Products,34.75,true,simple,3.75,https://www.saq.com/media/catalog/product/1/4/14588159-1_1602104752.png,4,,,,,,
Canada,Quebec,25 %,Red,750 ml,Les Spiritueux Iberville,Représentation La Rep Inc.,14070991,00627843837213,Bottled in Québec,14070991,Amer Amer,Products,29.5,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14070991-1_1578550815.png,0,,,,,,
Canada,Quebec,42.9 %,White,750 ml,Absintherie des Cantons,Corporation Bella Vita International,13305831,03451740420004,Made in Québec,13305831,Absintherie des Cantons Wendigo,Products,37,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13305831-1_1578534017.png,0,London dry gin,,,,,
Sweden,,40 %,,750 ml,The Absolut Company,Corby Spiritueux et Vins Limitée,13570942,07312040551675,,13570942,Absolut Lime,Products,26.95,true,simple,3,https://www.saq.com/media/catalog/product/1/3/13570942-1_1578537914.png,1,,,,,,
Canada,Quebec,42 %,Blue,750 ml,Absintherie des Cantons,Corporation Bella Vita International,13916237,03451740000428,Made in Québec,13916237,Absintherie des Cantons Panoramix,Products,49.25,true,simple,5,https://www.saq.com/media/catalog/product/1/3/13916237-1_1578545714.png,1,London dry gin,,,,,
Sweden,,40 %,,750 ml,The Absolut Company,Corby Spiritueux et Vins Limitée,110056,00835229000308,,110056,Absolut,Products,26.35,true,simple,0,https://www.saq.com/media/catalog/product/1/1/110056-1_1580592012.png,0,,,,,,
Jamaica,,40 %,Amber,1.14 L,J. Wray &amp; Nephew Limited,Forty Creek Distillery LTD,11464257,00069321004586,,11464257,Appleton Estate Signature,Products,37.5,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11464257-1_1596545710.png,0,,,,,,
South Africa,,17 %,Beige,1.14 L,Southern Liquor Co.,Peter Mielzynski Agencies Limited,12821771,06001108030139,,12821771,Amarula,Products,39.5,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12821771-1_1578411310.png,0,,,,,,
Canada,Quebec,40 %,White,750 ml,Absintherie des Cantons,Corporation Bella Vita International,13533295,03451740400006,Made in Québec,13533295,Absintherie des Cantons Aquavit Belle-Isle,Products,38.25,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13533295-1_1578537310.png,,,,,,,
Sweden,,40 %,,1.14 L,The Absolut Company,Corby Spiritueux et Vins Limitée,11401133,00208352290050,,11401133,Absolut,Products,39.25,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11401133-1_1580617514.png,0,,,,,,
