,Country,Region,Regulated Designation,Grape variety,Degree of alcohol,Sugar content,Color,Size,Producer,Promoting agent,SAQ code,UPC code,Product of Québec,productSku,productName,productCategory,productPrice,productInStock,productType,productAvgScore,productReviews,image_link,Designation of origin,Classification,Special feature
0,United States,"California, Inland Valleys",Table wine,"Cabernet sauvignon 92 %, Petite sirah 5 %, Syrah 3 %",14 %,2.1 g/L,Red,750 ml,Arterra Wines Canada,"Vins Arterra Canada, division Québec Inc",14139863,00056049135920,Bottled in Québec,14139863,655 Miles Cabernet Sauvignon Lodi,Products,14.95,true,simple,5,1,https://www.saq.com/media/catalog/product/1/4/14139863-1_1578552320.png,,,
1,France,"Bourgogne, Mâconnais",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13.3 %,1.8 g/L,White,750 ml,Albert Bichot,"Elixirs, Vins et Spiritueux Inc.",22871,00087113114305,,22871,Albert Bichot Pouilly Fuissé,Products,25.85,true,simple,0,0,https://www.saq.com/media/catalog/product/2/2/22871-1_1580591726.png,Pouilly-Fuissé,,
2,United States,California,Table wine,Zinfandel 100 %,15.5 %,6.8 g/L,Red,750 ml,1000 Stories Vineyards,Escalade Wines &amp; Spirits,13584455,00082896001453,,13584455,1000 Stories Zinfandel California,Products,28.85,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13584455-1_1578538222.png,,Barrel fermented,
3,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13 %,,White,750 ml,Domaine Alain Chavy,Valmonti Inc.,14534628,04000145346281,,14534628,Alain Chavy Puligny Montrachet,Products,94,true,simple,0,,https://www.saq.com/media/catalog/product/1/4/14534628-1_1605711342.png,Puligny-Montrachet,,
4,Portugal,Setúbal Peninsula,Denominação Origem Controlada,"Cabernet sauvignon 25 %, Syrah 25 %, Touriga nacional 25 %, Trincadeira 25 %",13 %,5.2 g/L,Red,750 ml,Cooperativa Agricola de Santo Isidro de,Réseau International Global Inc.,13679892,05603016000153,,13679892,Adega De Pegões Colheita Seleccionada,Products,16.55,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13679892-1_1578540618.png,Palmela,,
5,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13 %,,White,750 ml,Domaine Alain Chavy,Valmonti Inc.,14534636,04000145346366,,14534636,Alain Chavy Saint-Aubin Premier Cru En Remilly,Products,77.75,true,simple,0,,,Saint-Aubin Premier Cru,,
6,France,"Sud-Ouest, Côtes de Gascogne",(VDP/IGP) Vin de pays/Indication géographique protégée,"Gros manseng 50 %, Sauvignon blanc 50 %",12.5 %,3.7 g/L,White,3 L,S.A. Vignobles Brumont,Mark Anthony Brands Ltd,13950347,03372224000249,,13950347,Alain Brumont La Gascogne,Products,43.15,true,simple,0,,https://www.saq.com/media/catalog/product/1/3/13950347-1_1605819950.png,,,
7,Portugal,"Vinho Verde, Minho",,Arinto 100 %,13 %,5.7 g/L,White,750 ml,A&amp;D Wines,Importations BMT Inc,14296666,05605829000610,,14296666,A&D Wines Monologo Arinto p24,Products,18.65,true,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14296666-1_1580258418.png,Vinho verde,,Organic product
8,Portugal,Dâo E Lafôes,Denominação Origem Controlada,"Encruzado 40 %, Cercial 30 %, Malvasia fina 30 %",12.5 %,&lt;1.2 g/L,White,750 ml,Adega de Penalva,La QV Inc. (GB),12728904,05606469000015,,12728904,Adega de Penalva Dão,Products,11.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/2/12728904-1_1578408922.png,Dâo,,
9,Portugal,"Dâo E Lafôes, Terras do Dâo",,"Touriga nacional 50 %, Jaen 25 %, Tinta roriz 25 %",12.5 %,2.2 g/L,Red,750 ml,Adega de Penalva,La QV Inc. (GB),13746485,05606469000053,,13746485,Adega de Penalva Dão,Products,12.3,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13746485-1_1578541826.png,Dâo,,
10,France,"Bourgogne, Bourgogne",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir,12.5 %,2.1 g/L,Red,750 ml,Albert Bichot,"Elixirs, Vins et Spiritueux Inc.",10667474,00087113110918,,10667474,Albert Bichot Bourgogne Vieilles Vignes,Products,19.05,true,simple,0,0,https://www.saq.com/media/catalog/product/1/0/10667474-1_1580598314.png,Bourgogne,,
11,Portugal,"Setúbal Peninsula, Péninsule de Setúbal",Vinho regional,"Chardonnay 60 %, Arinto 25 %, Antao vaz 15 %",13 %,4.6 g/L,White,750 ml,Cooperativa Agricola de Santo Isidro de,Réseau International Global Inc.,10838801,05603016000160,,10838801,Adega de Pegões Colheita Seleccionada Peninsula de Setubal,Products,12.7,true,simple,3.65,3,https://www.saq.com/media/catalog/product/1/0/10838801-1_1580608817.png,,,
12,Chile,"Aconcagua, Valle de Casablanca",Denominación de origen (DO),"Pinot noir 94 %, Sémillon 6 %",13.5 %,3.7 g/L,Red,750 ml,Chilean Grape Group,Divin Paradis Inc.,14208427,07804651562091,,14208427,7Colores Gran Reserva Valle Casablanca,Products,19.05,true,simple,0,,https://www.saq.com/media/catalog/product/1/4/14208427-1_1606227648.png,Valle de Casablanca,Reserva,
13,South Africa,"Western Cape, Coastal Region",Wine of origin (WO),"Chenin blanc 29 %, Roussanne 23 %, Viognier 11 %, White grenache 10 %",14 %,,White,750 ml,Adi Badenhorst,Symbiose vins et cies inc.,12532514,00899109002011,,12532514,A.A. Badenhorst Family White Blend,Products,41.75,true,simple,0,,https://www.saq.com/media/catalog/product/1/2/12532514-1_1578345610.png,Malmesbury,,
14,Australia,"South Australia, Barossa Valley",Table wine,Cabernet sauvignon 100 %,14 %,2.1 g/L,Red,750 ml,19 Crimes,Mark Anthony Brands Ltd,12824197,09311220004534,,12824197,19 Crimes Cabernet-Sauvignon Limestone Coast,Products,18.95,true,simple,5,3,https://www.saq.com/media/catalog/product/1/2/12824197-1_1578411313.png,,,
15,France,"Bourgogne, Chablis et Grand Auxerrois",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13 %,2.1 g/L,White,750 ml,Albert Bichot,"Elixirs, Vins et Spiritueux Inc.",17897,00087113111809,,17897,Albert Bichot Chablis,Products,24.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/7/17897-1_1580591719.png,Chablis,,
16,Australia,South Eastern Australia,Table wine,Chardonnay 100 %,16 %,8.5 g/L,White,750 ml,19 Crimes,Mark Anthony Brands Ltd,13624710,00012354001947,,13624710,19 Crimes Hard Chard,Products,17.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13624710-1_1578539419.png,,,
17,South Africa,"Western Cape, Coastal Region",Wine of origin (WO),"Chenin blanc 50 %, Chardonnay 26 %, Viognier 24 %",13 %,&lt;1.2 g/L,White,750 ml,Adi Badenhorst,Symbiose vins et cies inc.,12889126,06009800591378,,12889126,A.A. Badenhorst The Curator,Products,14.1,true,simple,0,0,https://www.saq.com/media/catalog/product/1/2/12889126-1_1578413412.png,Malmesbury,,
18,United States,Washington,American Viticultural Areas (AVA),"Cabernet sauvignon 82 %, Merlot 10 %, Other grape variety (ies) 8 %",13.5 %,8.7 g/L,Red,750 ml,14 Hands Winery,Vins Philippe Dandurand Ltée,13876247,00088586001895,,13876247,14 Hands Cabernet-Sauvignon Columbia Valley,Products,15.95,true,simple,3.5,2,https://www.saq.com/media/catalog/product/1/3/13876247-1_1582145731.png,Columbia Valley,,
19,France,"Bourgogne, Bourgogne",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay,12.5 %,2.1 g/L,White,750 ml,Albert Bichot,"Elixirs, Vins et Spiritueux Inc.",10845357,00087113111359,,10845357,Albert Bichot Chardonnay Vieilles Vignes,Products,18.2,true,simple,0,0,https://www.saq.com/media/catalog/product/1/0/10845357-1_1580609113.png,Bourgogne,,
20,Italy,,Vino da tavola,Falanghina 100 %,12.5 %,1.6 g/L,White,750 ml,Feudi di San Gregorio Az. Agr. SPA,Italvine Ltée.,14228356,08022888310011,,14228356,Albente Feudi di San Gregorio,Products,14.3,true,simple,4,1,https://www.saq.com/media/catalog/product/1/4/14228356-1_1578554417.png,,,
21,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13.5 %,,White,750 ml,Domaine Alain Chavy,Valmonti Inc.,14534679,04000145346793,,14534679,Alain Chavy Puligny-Montrachet Premier Cru Les Clavoillons,Products,130.5,true,simple,0,,,Puligny-Montrachet Premier Cru,,
22,France,"Sud-Ouest, Pyrénées/Gascogne",(AOC/AOP) Appellation origine controlée/protégée,"Tannat 50 %, Cabernet sauvignon 26 %, Cabernet franc 24 %",13.5 %,2.4 g/L,Red,750 ml,Alain Brumont,Mark Anthony Brands Ltd,12284303,03372220160190,,12284303,Alain Brumont Madiran Tour Bouscassé,Products,18.05,true,simple,0,0,https://www.saq.com/media/catalog/product/1/2/12284303-1_1580666719.png,Madiran,,
23,France,"Bourgogne, Bourgogne",(AOC/AOP) Appellation origine controlée/protégée,Aligoté,11.8 %,&lt;1.2 g/L,White,750 ml,Albert Bichot,"Elixirs, Vins et Spiritueux Inc.",130724,00087113111205,,130724,Albert Bichot Bourgogne Aligoté,Products,16.15,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/130724-1_1581313221.png,Bourgogne Aligoté,,
24,Italy,"Veneto, Verona / Provincia di Verona / Veronese",IGP/IGT Indicazione Geografica protetta / tipica,"Corvina 70 %, Rondinella 25 %, Sangiovese 5 %",14 %,5.8 g/L,Red,750 ml,Azienda Agricola Allegrini,"Elixirs, Vins et Spiritueux Inc.",907477,08015822000178,,907477,Allegrini Palazzo della Torre Veronese,Products,23.95,true,simple,0,0,https://www.saq.com/media/catalog/product/9/0/907477-1_1580607615.png,,,
25,Italy,"Veneto, Delle Venezie",IGP/IGT Indicazione Geografica protetta / tipica,Pinot grigio 100 %,12.5 %,1.5 g/L,White,750 ml,Alois Lageder SPA,Mark Anthony Brands Ltd,13897427,08000395044940,,13897427,Alois Lageder Riff delle Venezie,Products,15.85,true,simple,0,,https://www.saq.com/media/catalog/product/1/3/13897427-1_1600789566.png,,,Organic product
26,Italy,Friuli-Venezia Giulia,DOP/DOC Denominazione di orgine controllata / protetta,Pinot grigio 100 %,12.5 %,4.2 g/L,White,750 ml,Alma Wines,Vinéo Inc.,13692481,08054314340187,,13692481,Ambo Grigio Friuli,Products,14.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13692481-1_1595969715.png,Friuli / Friuli Venezia Giulia,,
27,Italy,Tuscany,Denominazione di origine controllata e garantita (DOCG),"Sangiovese 90 %, Merlot 5 %, Syrah 5 %",13 %,1.9 g/L,Red,750 ml,Marchesi Antinori SRL,Mark Anthony Brands Ltd,10270928,08001935001607,,10270928,Antinori Peppoli Chianti Classico,Products,20.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/0/10270928-1_1590614713.png,Chianti Classico,,
28,Argentina,,Vino de mesa,"Malbec 85 %, Bonarda 15 %",13.5 %,3.2 g/L,Red,750 ml,A. Bartholomaus &amp; E. Catena,Noble Sélection,11156895,00890464460034,,11156895,Alma Negra M Blend Mendoza,Products,19.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/1/11156895-1_1580613917.png,,,
29,Italy,"Veneto, Veneto",IGP/IGT Indicazione Geografica protetta / tipica,,12.5 %,5 g/L,White,750 ml,Anselmi SRL,Montalvin Inc. (GB),585422,00687004000610,,585422,Anselmi San Vincenzo Veneto,Products,16.95,true,simple,0,0,https://www.saq.com/media/catalog/product/5/8/585422-1_1608571833.png,,,
30,Portugal,Dâo E Lafôes,Denominação Origem Controlada,"Aragonez 40 %, Touriga nacional 30 %, Jaen 20 %, Alfrocheiro 10 %",13 %,1.8 g/L,Red,750 ml,"Amora Brava, Unip. Lda",Noble Sélection,14492616,05601250105054,,14492616,Amora Brava Indio Rei Dão,Products,15.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14492616-1_1604416868.png,Dâo,,
31,Italy,Veneto,DOP/DOC Denominazione di orgine controllata / protetta,"Corvina 70 %, Rondinella 30 %",13.69 %,6.1 g/L,Red,750 ml,Corte Giara SRL,"Elixirs, Vins et Spiritueux Inc.",14003544,08015822010504,,14003544,Allegrini Villa Cavarena Valpolicella Ripasso,Products,23,true,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14003544-1_1578548425.png,Valpolicella,,
32,Portugal,Porto/Douro,Denominação Origem Controlada,,12 %,9.9 g/L,Red,750 ml,Vincente Leite de Faria (Vinhos) Lda,Société de Vins Fins Ltée.,11133239,05601815421216,,11133239,Animus Douro,Products,12.55,true,simple,0,0,https://www.saq.com/media/catalog/product/1/1/11133239-1_1580613314.png,Douro,,
33,Italy,"Lombardy, Provincia di Pavia",IGP/IGT Indicazione Geografica protetta / tipica,Pinot noir 100 %,12.5 %,4.9 g/L,Red,750 ml,Alma Wines,Vinéo Inc.,13487161,08054314340231,,13487161,Ambo Nero Provincia di Pavia,Products,14.95,true,simple,5,1,https://www.saq.com/media/catalog/product/1/3/13487161-1_1578536420.png,,,
34,Spain,Côte Méditerranéenne,Denominación de origen (DO),Monastrell 100 %,14 %,2.6 g/L,Red,750 ml,Azul y Garanza,La QV Inc. (GB),13632365,08437004333704,,13632365,Altamente Jumilla,Products,14.7,true,simple,4.5,2,https://www.saq.com/media/catalog/product/1/3/13632365-1_1580934012.png,Jumilla,,Organic product
35,France,"Bourgogne, Bourgogne",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,12.5 %,,White,750 ml,SC Domaine Albert Grivault,,14581387,04000145813875,,14581387,Albert Grivault Bourgogne,Products,48.5,true,simple,0,,https://www.saq.com/media/catalog/product/1/4/14581387-1_1605810339.png,Bourgogne,,
36,Chile,"Valle Central, Valle del Rapel",Denominación de origen (DO),Cabernet sauvignon 100 %,13 %,4.6 g/L,Red,750 ml,Vina Anakena,Les Sélections François Fréchette,13284858,05010134914772,,13284858,Anakena Cabernet-Sauvignon,Products,12.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13284858-1_1605726647.png,Valle del Rappel,,
37,Portugal,Vinho Verde,Denominação Origem Controlada,"Alvarelhão 40 %, Pedral 30 %, Borraçal 25 %, Vinhão 5 %",12 %,1.5 g/L,Red,750 ml,Anselmo Mendes,Vins Balthazard Inc. (CAD),14347574,05606486988587,,14347574,Anselmo Mendes Pardusco,Products,16,true,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14347574-1_1600272063.png,Vinho verde,,
38,Spain,Côte Méditerranéenne,Denominación de origen calificada (DOCa),"Grenache 98 %, Carignan 2 %",14.5 %,,Red,1.5 L,Alvaro Palacios,Peter Mielzynski Agencies Limited,13492737,08429073018767,,13492737,Alvaro Palacios Finca Dofi Priorat,Products,226.5,true,simple,0,,,Priorat,,
39,Italy,Tuscany,Denominazione di origine controllata e garantita (DOCG),"Sangiovese 85 %, Cabernet sauvignon 5 %, Canaiolo 5 %, Merlot 5 %",13.5 %,1.8 g/L,Red,750 ml,Alessandro Berselli,Vinéo Inc.,13460655,08054314340514,,13460655,Alessandro Berselli Astorre Noti Chianti Riserva,Products,16.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13460655-1_1593533115.png,Chianti,Riserva,
40,Italy,"Puglia, Salento",IGP/IGT Indicazione Geografica protetta / tipica,Primitivo 100 %,14.5 %,6.1 g/L,Red,750 ml,Alma Wines,Vinéo Inc.,13487188,08054314340460,,13487188,Alessandro Berselli Primitivo Salento,Products,19.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13487188-1_1578536420.png,,,
41,Italy,"Veneto, Veneto",IGP/IGT Indicazione Geografica protetta / tipica,"Corvina 50 %, Rondinella 50 %",14 %,5.3 g/L,Red,750 ml,Azienda Agricola Allegrini,"Elixirs, Vins et Spiritueux Inc.",13419441,08015822020886,,13419441,Allegrini La Bragia Veneto,Products,18.55,true,simple,4,1,https://www.saq.com/media/catalog/product/1/3/13419441-1_1578535516.png,,,
42,France,"Vallée de la Loire, Centre Loire",(AOC/AOP) Appellation origine controlée/protégée,Sauvignon blanc 100 %,13 %,2.5 g/L,White,750 ml,SCEA Alphonse Mellot,Charton Hobbs Inc,33480,03273390552054,,33480,Alphonse Mellot Sancerre la Moussière,Products,34.1,true,simple,0,0,https://www.saq.com/media/catalog/product/3/3/33480-1_1580593820.png,Sancerre,,Organic product
43,Italy,Trentino Alto Adige,DOP/DOC Denominazione di orgine controllata / protetta,Pinot blanc 100 %,12.5 %,&lt;1.2 g/L,White,750 ml,Alois Lageder SPA,Mark Anthony Brands Ltd,12057004,08000395102008,,12057004,Alois Lageder Pinot Bianco Sudtirol Alto Adige,Products,19.8,true,simple,0,0,https://www.saq.com/media/catalog/product/1/2/12057004-1_1580658928.png,Alto Adige/Südtirol,,
44,Spain,Le Plateau (Meseta),Denominación de origen (DO),Grenache 100 %,14 %,1.5 g/L,Red,750 ml,Altolandon,Divin Paradis Inc.,13794111,08437006339445,,13794111,Altolandon Milhistorias Manchuela,Products,16.3,true,simple,2.5,2,https://www.saq.com/media/catalog/product/1/3/13794111-1_1578542418.png,Manchuela,,Organic product
45,Portugal,Porto/Douro,Denominação Origem Controlada,"Other grape variety (ies) 35 %, Touriga nacional 30 %, Touriga Franca 20 %, Tinta barroca 15 %",14 %,2.4 g/L,Red,750 ml,Symington Family Estates Vinhos Lda,Les Sélections François Fréchette,14381318,05608309008014,,14381318,Altano Vin Biologique Douro,Products,16.35,true,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14381318-1_1588617318.png,Douro,,Organic product
46,Italy,Piedmont,DOP/DOC Denominazione di orgine controllata / protetta,Dolcetto 100 %,13 %,1.7 g/L,Red,750 ml,Azienda agricola Andrea Oberto,Valmonti Inc.,12688560,08022799001459,,12688560,Andrea Oberto Dolcetto d'Alba,Products,19.45,true,simple,0,0,https://www.saq.com/media/catalog/product/1/2/12688560-1_1602602765.png,Dolcetto dAlba,,
47,Italy,Veneto,DOP/DOC Denominazione di orgine controllata / protetta,"Corvina 75 %, Rondinella 25 %",12.5 %,5.2 g/L,Red,750 ml,Corte Giara SRL,"Elixirs, Vins et Spiritueux Inc.",13190317,03081822010078,,13190317,Allegrini Corte Giara Valpolicella,Products,15.8,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13190317-1_1594997419.png,Valpolicella,,
